Transaction_ID,Timestamp,User_ID,Transaction_Type,Amount,Balance_After,Location,Recipient,Status
TX08076,2025-01-01 00:25:49,0720990980,Buy Goods,577.29,1687.46,Eldoret,,Success
TX06520,2025-01-01 00:47:27,0798970894,Deposit,1795.9,5631.2,Kericho,,Success
TX09722,2025-01-01 00:51:32,0751813625,Deposit,838.78,4139.01,Kisumu,,Success
TX08527,2025-01-01 00:54:42,0787132285,Buy Goods,15.22,0.0,Nairobi,,Success
TX07617,2025-01-01 01:20:19,0760353583,Paybill,1114.26,4783.44,Machakos,,Success
TX00729,2025-01-01 01:53:30,0790401397,Withdraw,1918.05,4252.01,Thika,,Success
TX00235,2025-01-01 02:39:54,0791586987,Withdraw,1798.45,5793.39,Mombasa,,Success
TX04707,2025-01-01 03:09:00,0758940930,Buy Airtime,310.83,3810.14,Eldoret,,Success
TX05413,2025-01-01 03:11:07,0783815289,Buy Airtime,416.02,1458.71,Meru,,Success
TX08352,2025-01-01 03:21:16,0713307227,Send Money,594.38,2596.32,Eldoret,0767880177,Success
TX09765,2025-01-01 03:55:48,0717827043,Buy Airtime,136.41,1141.11,Kisumu,,Success
TX04743,2025-01-01 05:03:45,0747686076,Paybill,1686.27,2806.05,Eldoret,,Success
TX01401,2025-01-01 05:21:51,0712261813,Buy Airtime,1378.71,4188.55,Kisumu,,Success
TX07435,2025-01-01 05:35:36,0758164355,Reversal,51.4,3082.05,Meru,,Reversed
TX05530,2025-01-01 05:58:14,0765138590,Receive Money,446.55,1536.87,Kakamega,0765827553,Success
TX05104,2025-01-01 06:48:48,0755445857,Buy Goods,2632.44,5934.66,Nairobi,,Success
TX02623,2025-01-01 07:17:25,0782654041,Withdraw,35.97,4569.28,Nakuru,,Success
TX09302,2025-01-01 07:22:03,0750591272,Buy Goods,1437.64,3450.86,Kakamega,,Success
TX00680,2025-01-01 07:52:54,0713715102,Buy Goods,1173.27,4854.24,Nairobi,,Success
TX05481,2025-01-01 08:22:43,0795745726,Buy Airtime,60.24,1522.78,Kericho,,Success
TX00392,2025-01-01 10:02:41,0780182435,Withdraw,1029.38,4072.16,Kakamega,,Failed
TX06559,2025-01-01 10:14:18,0773746737,Withdraw,598.36,0.0,Mombasa,,Success
TX04656,2025-01-01 11:31:31,0753290446,Receive Money,223.27,3073.48,Nakuru,0755484974,Success
TX01484,2025-01-01 11:57:17,0725759816,Deposit,281.09,0.0,Eldoret,,Success
TX05011,2025-01-01 11:58:12,0717827043,Send Money,68.45,495.11,Eldoret,0796712595,Success
TX01270,2025-01-01 12:28:11,0732179511,Deposit,1380.86,533.61,Kakamega,,Success
TX06312,2025-01-01 12:45:36,0713901676,Withdraw,924.05,3867.59,Nairobi,,Success
TX01896,2025-01-01 13:12:52,0771340632,Send Money,131.32,1363.64,Machakos,0763640519,Success
TX03571,2025-01-01 14:03:11,0791220178,Deposit,567.81,4039.56,Meru,,Success
TX00207,2025-01-01 15:07:27,0721159839,Withdraw,164.69,2726.01,Thika,,Failed
TX03624,2025-01-01 16:11:12,0766638653,Deposit,76.36,926.48,Meru,,Success
TX09157,2025-01-01 16:27:52,0733269760,Deposit,341.69,5148.44,Nairobi,,Success
TX00539,2025-01-01 16:31:26,0783575672,Withdraw,835.59,4500.41,Kericho,,Failed
TX05618,2025-01-01 17:46:54,0781709374,Receive Money,242.18,5335.32,Mombasa,0720151342,Success
TX09479,2025-01-01 19:09:12,0729594811,Reversal,463.52,670.37,Mombasa,,Reversed
